@ID,TRANSACTION.TYPE,DEBIT.ACCT.NO,DEBIT.CURRENCY,DEBIT.AMOUNT,CREDIT.ACCT.NO,CREDIT.VALUE.DATE,ORDERING.CUST
FT0600074,AC,2001888,EUR,1758633,2002618,20260426,JACQUES CARRE-POTTIER
FT0600075,AC,2002476,USD,1766790,2003166,20260426,MARIANNE ROUX
FT0600076,AC,2002889,XAF,4444838,2002908,20260426,HENRI BOUCHET
FT0600077,AC,2002202,USD,4609929,2000957,20260426,MONIQUE DENIS
FT0600078,AC,2002356,USD,192734,2003146,20260426,CATHERINE LE DUMONT
FT0600079,AC,2000097,XAF,2436823,2003144,20260426,DIANE VALLET
FT0600080,AC,2000749,USD,1611273,2002154,20260426,JÉRÔME-AIMÉ SEGUIN
FT0600081,AC,2001307,USD,3867033,2001333,20260426,ÉTIENNE BOULAY
FT0600082,AC,2003107,EUR,1759595,2000651,20260426,MARC BIGOT
FT0600083,AC,2001748,USD,1496041,2002193,20260426,LOUISE BLONDEL
FT0600084,AC,2000085,EUR,680046,2000961,20260426,ÉDOUARD DU VASSEUR
FT0600085,AC,2002526,EUR,1443598,2001664,20260426,ÉLISE SIMON
FT0600086,AC,2001446,XAF,1642541,2002270,20260426,ARNAUDE DELORME DU HOARAU
FT0600087,AC,2002341,EUR,2307340,2001523,20260426,MICHELLE DIJOUX DU COUSIN
FT0600088,AC,2002526,EUR,3550460,2002489,20260426,ÉLISE SIMON
FT0600089,AC,2003151,USD,665658,2001408,20260426,SUSANNE MEUNIER
FT0600090,AC,2001757,USD,610859,2000295,20260426,AIMÉ DE GRONDIN
FT0600091,AC,2001469,XAF,4100635,2001584,20260426,GUILLAUME COHEN-BLOT
FT0600092,AC,2000973,USD,3305430,2001942,20260426,CÉCILE PINTO
FT0600093,AC,2000765,USD,3062200,2000578,20260426,CLÉMENCE LECONTE
FT0600094,AC,2001641,EUR,3653431,2001452,20260426,CLÉMENCE-HÉLÈNE DELORME
FT0600095,AC,2000690,USD,3469718,2002102,20260426,NOËL MERLE
FT0600096,AC,2001624,USD,2151505,2002062,20260426,ASTRID MULLER
FT0600097,AC,2000436,USD,1427235,2001960,20260426,JEANNINE MEYER
FT0600098,AC,2001154,EUR,2079651,2000088,20260426,ÉRIC HARDY
FT0600099,AC,2000304,USD,1712825,2002696,20260426,AURÉLIE-MARGOT BOUCHER
FT0600100,AC,2001858,XAF,1570931,2000438,20260426,LÉON BLIN
FT0600101,AC,2002470,XAF,2001091,2001771,20260426,BENOÎT GONCALVES
FT0600102,AC,2000033,XAF,1262144,2000397,20260426,YVES MONNIER
FT0600103,AC,2001072,EUR,1644670,2002949,20260426,ALIX DE COHEN
FT0600104,AC,2002185,XAF,170571,2002925,20260426,FRÉDÉRIQUE FAURE
FT0600105,AC,2000109,USD,1510498,2003151,20260426,NICOLE FOUQUET DE LA LOPES
FT0600106,AC,2002284,EUR,2820679,2002464,20260426,PAUL FLEURY
FT0600107,AC,2000453,XAF,3846164,2001413,20260426,NICOLE BRIAND-ALBERT
FT0600108,AC,2003231,EUR,1438356,2003053,20260426,MARC PRÉVOST
FT0600109,AC,2003007,USD,3515823,2001060,20260426,LOUISE BLONDEL
FT0600110,AC,2002872,EUR,3040538,2002498,20260426,VIRGINIE FLEURY
FT0600111,AC,2001396,EUR,1705598,2002522,20260426,JULIETTE LACROIX DE MAHE
FT0600112,AC,2001816,USD,2028041,2001705,20260426,ALAIN LEDOUX
FT0600113,AC,2001318,EUR,3366187,2001152,20260426,ASTRID ALEXANDRE
FT0600114,AC,2001694,EUR,4004119,2000745,20260426,GRÉGOIRE GERMAIN
FT0600115,AC,2000179,EUR,4408721,2002106,20260426,JULIE BÈGUE DE LA PRÉVOST
FT0600116,AC,2000693,XAF,830017,2002752,20260426,ÉLISE SIMON
FT0600117,AC,2002328,XAF,4113635,2000410,20260426,MARTINE GRONDIN
FT0600118,AC,2000904,EUR,2316693,2001796,20260426,FRANÇOIS GONZALEZ
FT0600119,AC,2000401,XAF,1362061,2000348,20260426,VICTOR GRONDIN-ALLAIN
FT0600120,AC,2003218,EUR,1096680,2000770,20260426,JACQUES RODRIGUES
FT0600121,AC,2002052,USD,3998543,2000900,20260426,CAPUCINE JOURDAN-ROBIN
FT0600122,AC,2001609,XAF,4430205,2002633,20260426,BENOÎT-EUGÈNE LECOMTE
FT0600123,AC,2002725,XAF,1839468,2000584,20260426,THOMAS DUVAL DU HENRY
FT0600124,AC,2001021,EUR,2190864,2002277,20260426,VICTOR GUILLOT
FT0600125,AC,2001714,EUR,2555849,2002933,20260426,MICHELLE BESNARD
FT0600126,AC,2001227,EUR,4356989,2000389,20260426,ROBERT LECOMTE
FT0600127,AC,2002245,EUR,144340,2002195,20260426,MICHÈLE COSTA-LAMBERT
FT0600128,AC,2000936,XAF,4390164,2002780,20260426,ISABELLE DUBOIS DU DELAUNAY
FT0600129,AC,2002237,EUR,1916942,2002277,20260426,SÉBASTIEN THIERRY-MARTY
FT0600130,AC,2003147,USD,1761342,2001819,20260426,FRÉDÉRIQUE RÉMY
FT0600131,AC,2000414,EUR,4428218,2000697,20260426,LUC-MARC CHAUVET
FT0600132,AC,2000376,XAF,1870977,2000364,20260426,STÉPHANE VALLÉE
FT0600133,AC,2002002,USD,1149109,2002931,20260426,SUZANNE GUÉRIN
FT0600134,AC,2001160,EUR,3649971,2000928,20260426,ALICE BLANC-DUMONT
FT0600135,AC,2002886,EUR,4136028,2001945,20260426,CÉCILE PINTO
FT0600136,AC,2002483,EUR,1591453,2001625,20260426,BENJAMIN BODIN
FT0600137,AC,2001599,EUR,364306,2001045,20260426,COLETTE NOËL
FT0600138,AC,2001461,USD,4982228,2003150,20260426,CAPUCINE TECHER
FT0600139,AC,2000141,USD,2495472,2000650,20260426,OLIVIER DE LA RIVIÈRE
FT0600140,AC,2000930,USD,4539923,2002369,20260426,BENJAMIN PERROT
FT0600141,AC,2001701,EUR,3346607,2002900,20260426,JULES COSTE
FT0600142,AC,2002006,USD,1307922,2001307,20260426,SUSAN DEVAUX
FT0600143,AC,2001277,XAF,1754408,2000278,20260426,ÉMILIE DE LA FERNANDES
FT0600144,AC,2000394,XAF,246995,2002751,20260426,LAURENT BERTIN
FT0600145,AC,2002194,XAF,2035260,2000412,20260426,HORTENSE LOPES
FT0600146,AC,2001684,XAF,2488412,2001872,20260426,DIANE FLEURY
FT0600147,AC,2000117,XAF,2100795,2003018,20260426,MARGUERITE RODRIGUEZ LE RIOU
FT0600148,AC,2000295,USD,3278566,2001747,20260426,ADRIEN LACROIX
FT0600149,AC,2002738,USD,4699822,2003146,20260426,ROLAND ARNAUD LE PINEAU
FT0600150,AC,2001409,XAF,1664691,2003091,20260426,PHILIPPINE PARENT
FT0600151,AC,2001694,EUR,4970330,2001154,20260426,GRÉGOIRE GERMAIN
FT0600152,AC,2002587,XAF,1393978,2000496,20260426,TRISTAN LEBON LE VIDAL
FT0600153,AC,2003024,USD,1421223,2002658,20260426,CLAUDINE-MARGOT CHARPENTIER
FT0600154,AC,2001022,XAF,4512686,2001729,20260426,ANOUK MAHE
FT0600155,AC,2003244,USD,943223,2000929,20260426,AMÉLIE-ANTOINETTE DAVID
FT0600156,AC,2001773,EUR,70191,2001730,20260426,MAURICE RENARD
FT0600157,AC,2000211,USD,4936477,2003060,20260426,ISAAC LECLERC
FT0600158,AC,2003211,XAF,2690589,2001313,20260426,TRISTAN ROYER
FT0600159,AC,2001945,EUR,4318180,2000225,20260426,CHARLES TRAORE
FT0600160,AC,2000862,EUR,3681969,2001203,20260426,AMÉLIE-ANTOINETTE DAVID
FT0600161,AC,2002537,USD,1155975,2002229,20260426,VICTOIRE MEUNIER LE BODIN
FT0600162,AC,2001631,XAF,3575024,2002803,20260426,LÉON GUICHARD
FT0600163,AC,2000677,XAF,781982,2002005,20260426,CLÉMENCE LÉVÊQUE
FT0600164,AC,2001160,EUR,1822733,2003187,20260426,ALICE BLANC-DUMONT
FT0600165,AC,2001538,XAF,3813112,2000116,20260426,ROLAND-DENIS BENOIT
FT0600166,AC,2001527,XAF,4402623,2000084,20260426,ARTHUR JACOB
FT0600167,AC,2002762,EUR,3480608,2002969,20260426,THÉOPHILE BARRE-LACROIX
FT0600168,AC,2002264,EUR,919428,2002346,20260426,JÉRÔME BERNARD
FT0600169,AC,2003196,USD,790399,2002905,20260426,BERNADETTE OLLIVIER
FT0600170,AC,2000110,EUR,2299203,2000745,20260426,MARGARET LEMOINE DE LA GUILLAUME
FT0600171,AC,2000087,USD,3077025,2001460,20260426,TIMOTHÉE LANGLOIS
FT0600172,AC,2002896,XAF,1446736,2001108,20260426,DOMINIQUE BENOIT
FT0600173,AC,2003195,EUR,1352958,2001784,20260426,THIERRY LEMAÎTRE-CAMUS
FT0600174,AC,2001332,XAF,3248860,2002054,20260426,JÉRÔME DUFOUR
FT0600175,AC,2001312,EUR,1408198,2001855,20260426,BRIGITTE DE LA COLLET
FT0600176,AC,2001481,EUR,806370,2000961,20260426,CATHERINE CARON
FT0600177,AC,2002068,USD,2290671,2000282,20260426,TRISTAN-HENRI BERNARD
FT0600178,AC,2002445,XAF,3747790,2001565,20260426,FRÉDÉRIQUE DUFOUR
FT0600179,AC,2002986,XAF,1180502,2002907,20260426,SUSANNE POTIER DE LA PAGES
FT0600180,AC,2002644,EUR,4303651,2000455,20260426,ANTOINE LEGRAND
FT0600181,AC,2002489,EUR,3986537,2002762,20260426,BENJAMIN NEVEU DU MICHEL
FT0600182,AC,2001002,USD,1043722,2003166,20260426,THOMAS BESNARD
FT0600183,AC,2002949,EUR,1148452,2003067,20260426,JEANNINE LAMBERT LE RENARD
FT0600184,AC,2002556,USD,1029808,2000306,20260426,RÉMY LE MASSON
FT0600185,AC,2001131,EUR,70824,2002182,20260426,BERNADETTE ROYER
FT0600186,AC,2002923,XAF,3523525,2002927,20260426,CHARLES ROBERT-DELORME
FT0600187,AC,2001887,XAF,2651939,2002265,20260426,JULIETTE LACROIX DE MAHE
FT0600188,AC,2001918,USD,4305699,2001509,20260426,MARIE BOURGEOIS DE BARTHELEMY
FT0600189,AC,2000260,USD,1494967,2001698,20260426,JULES GRONDIN-GUILBERT
FT0600190,AC,2000405,EUR,2371962,2002374,20260426,NATHALIE-ÉDITH DENIS
FT0600191,AC,2001422,XAF,2820288,2000671,20260426,CÉLINE COHEN-TORRES
FT0600192,AC,2002872,EUR,4283074,2001356,20260426,VIRGINIE FLEURY
FT0600193,AC,2002823,USD,3750185,2001216,20260426,GUY-XAVIER RICHARD
FT0600194,AC,2003050,EUR,535975,2000241,20260426,BERNARD FISCHER
FT0600195,AC,2002331,XAF,2406855,2001149,20260426,OLIVIER LECONTE
FT0600196,AC,2002869,XAF,1469039,2000411,20260426,SYLVIE MEUNIER-JACQUET
FT0600197,AC,2002989,EUR,3786069,2002295,20260426,LOUISE LEBON
FT0600198,AC,2002155,EUR,4826346,2002366,20260426,HORTENSE FABRE
FT0600199,AC,2002430,USD,298026,2000068,20260426,THIBAUT MARIN
FT0600200,AC,2002608,USD,1229365,2001280,20260426,SOPHIE LÉVÊQUE
FT0600201,AC,2001560,XAF,3039950,2001681,20260426,MADELEINE DE ROSSI
FT0600202,AC,2002271,XAF,3122010,2002461,20260426,MARTIN BAILLY
FT0600203,AC,2003160,XAF,1812968,2002694,20260426,BERNARD MARIE
FT0600204,AC,2002850,EUR,4010869,2001236,20260426,AMÉLIE LABBÉ
FT0600205,AC,2002224,XAF,2706724,2002443,20260426,MARGARET DE LOMBARD
FT0600206,AC,2002483,EUR,3064468,2002489,20260426,BENJAMIN BODIN
FT0600207,AC,2001461,USD,4128336,2002871,20260426,CAPUCINE TECHER
FT0600208,AC,2002589,XAF,654432,2001920,20260426,YVES MONNIER
FT0600209,AC,2001077,USD,27618,2002202,20260426,TIMOTHÉE DU BOULAY
FT0600210,AC,2000654,XAF,2833076,2002776,20260426,ODETTE CARLIER
FT0600211,AC,2002387,USD,1769741,2001016,20260426,SÉBASTIEN DE SOUSA
FT0600212,AC,2000660,XAF,249590,2001749,20260426,EMMANUEL BARTHELEMY
FT0600213,AC,2001466,XAF,4428706,2001218,20260426,THIBAUT-ZACHARIE DIAZ
FT0600214,AC,2001311,XAF,2438828,2000545,20260426,SYLVIE MEUNIER-JACQUET
FT0600215,AC,2001047,USD,3949761,2000306,20260426,WILLIAM MAILLARD DU ALBERT
FT0600216,AC,2001453,XAF,2373789,2000621,20260426,ADRIEN RODRIGUEZ
FT0600217,AC,2001677,USD,4785910,2000573,20260426,VALÉRIE CARON
FT0600218,AC,2001160,EUR,3909235,2003188,20260426,ALICE BLANC-DUMONT
FT0600219,AC,2000961,EUR,2871765,2001988,20260426,CAROLINE GRONDIN
FT0600220,AC,2001694,EUR,3042083,2000628,20260426,GRÉGOIRE GERMAIN
FT0600221,AC,2002177,XAF,4593347,2003208,20260426,FRÉDÉRIQUE LE GALL DU LEBRUN
FT0600222,AC,2002839,XAF,1893143,2000484,20260426,NICOLAS GUYON
FT0600223,AC,2000585,USD,4209504,2001239,20260426,OLIVIER DE AUBERT
FT0600224,AC,2002068,USD,2271089,2001163,20260426,TRISTAN-HENRI BERNARD
FT0600225,AC,2000310,EUR,1023700,2003054,20260426,LOUISE LEBON
FT0600226,AC,2001929,EUR,4915798,2002366,20260426,TRISTAN LEBON LE VIDAL
FT0600227,AC,2001774,EUR,3333955,2002234,20260426,LUCIE DU ROCHER
FT0600228,AC,2001217,USD,2722890,2001700,20260426,ÉLÉONORE VIDAL
FT0600229,AC,2001655,EUR,4201978,2000048,20260426,FRANCK DU GEORGES
FT0600230,AC,2000343,XAF,1109473,2000704,20260426,ÉMILE DIALLO
FT0600231,AC,2000556,XAF,2600004,2000214,20260426,CHRISTOPHE-LAURENT GEORGES
FT0600232,AC,2002701,EUR,12333,2001152,20260426,ALICE MARTINEZ
FT0600233,AC,2002234,EUR,4545650,2001131,20260426,ALIX DE LA VERDIER
FT0600234,AC,2000903,EUR,2408446,2002412,20260426,ADÉLAÏDE DUPUIS-DURAND
FT0600235,AC,2001530,XAF,4177787,2000830,20260426,LAURENCE MASSON
FT0600236,AC,2002117,USD,4902995,2001901,20260426,MARIE FAIVRE
FT0600237,AC,2002900,EUR,4474164,2000022,20260426,MARIANNE GIMENEZ
FT0600238,AC,2001764,EUR,2099802,2000770,20260426,JULES COSTE
FT0600239,AC,2002264,EUR,3096930,2001031,20260426,JÉRÔME BERNARD
FT0600240,AC,2002579,EUR,2753115,2001836,20260426,TIMOTHÉE DU BOULAY
FT0600241,AC,2003128,XAF,2562972,2001234,20260426,ÉRIC GÉRARD
FT0600242,AC,2002186,USD,323508,2001901,20260426,EMMANUELLE BOULAY DU LEBRUN
FT0600243,AC,2001524,EUR,1879472,2002970,20260426,ROBERT LE POULAIN
FT0600244,AC,2002522,EUR,716050,2001260,20260426,AMÉLIE-ANTOINETTE DAVID
FT0600245,AC,2002490,XAF,1355694,2002173,20260426,SUSANNE MASSON LE BÈGUE
FT0600246,AC,2002598,USD,4816833,2003035,20260426,CHRISTOPHE-LAURENT GEORGES
FT0600247,AC,2000283,EUR,72142,2002593,20260426,ARNAUDE DELORME DU HOARAU
FT0600248,AC,2001551,XAF,2128814,2000420,20260426,ALEXANDRE LAURENT-PERROT
FT0600249,AC,2001346,USD,3006257,2002624,20260426,NOËL LE RENARD
FT0600250,AC,2000578,USD,3011492,2003191,20260426,MARTIN BAILLY
FT0600251,AC,2000854,EUR,1549682,2000434,20260426,CONSTANCE LECOMTE
FT0600252,AC,2000282,USD,3833854,2000360,20260426,WILLIAM FAIVRE
FT0600253,AC,2000451,XAF,4182989,2001981,20260426,SÉBASTIEN OLLIVIER-HAMEL
FT0600254,AC,2002119,EUR,1937317,2001210,20260426,SUZANNE BENARD LE CARLIER
FT0600255,AC,2000746,EUR,4543567,2002283,20260426,SUSAN DEVAUX
FT0600256,AC,2001660,XAF,1545631,2000118,20260426,NATHALIE-ÉDITH DENIS
FT0600257,AC,2000218,USD,1523204,2000749,20260426,JACQUES RODRIGUES
FT0600258,AC,2001556,XAF,2065850,2001234,20260426,CHRISTELLE SALMON
FT0600259,AC,2000360,USD,2645985,2001937,20260426,TRISTAN ROUSSEAU
FT0600260,AC,2001187,USD,4431522,2002048,20260426,HUGUES BAUDRY-LEGRAND
FT0600261,AC,2001333,USD,2388701,2001878,20260426,GEORGES TECHER DE LA COLLIN
FT0600262,AC,2000021,XAF,2476597,2000852,20260426,EUGÈNE BESNARD
FT0600263,AC,2002464,EUR,4486142,2002277,20260426,FRANCK LE FABRE
FT0600264,AC,2001280,USD,4094701,2001901,20260426,DOMINIQUE LEDOUX
FT0600265,AC,2001262,USD,3029002,2002615,20260426,JACQUES BOUCHER-BERTRAND
FT0600266,AC,2002616,USD,817769,2001570,20260426,MARTHE GAUDIN
FT0600267,AC,2001220,USD,4030316,2001879,20260426,DIANE LÉGER
FT0600268,AC,2001057,EUR,451808,2000110,20260426,BENJAMIN-SÉBASTIEN SAMSON
FT0600269,AC,2001054,USD,2613093,2002640,20260426,JÉRÔME DUFOUR
FT0600270,AC,2002696,USD,4108684,2001266,20260426,ALEXANDRE DE BOULAY
FT0600271,AC,2002366,EUR,2113628,2001012,20260426,PATRICK ROBIN
FT0600272,AC,2003054,EUR,1347012,2003214,20260426,PIERRE-THIBAUT GÉRARD
FT0600273,AC,2002341,EUR,2304585,2001356,20260426,MICHELLE DIJOUX DU COUSIN
FT0600274,AC,2001764,EUR,1489617,2001031,20260426,JULES COSTE
FT0600275,AC,2001257,USD,374912,2000357,20260426,HUGUES MARTEL
FT0600276,AC,2002414,EUR,4288613,2000233,20260426,GILLES POULAIN-RENARD
FT0600277,AC,2002341,EUR,3489522,2002683,20260426,MICHELLE DIJOUX DU COUSIN
FT0600278,AC,2002527,USD,181755,2001839,20260426,CONSTANCE-MARCELLE GEORGES
FT0600279,AC,2003086,XAF,423272,2002462,20260426,RICHARD MAILLARD DE PERRIN
FT0600280,AC,2001870,XAF,2975351,2001413,20260426,BERNARD GIRAUD
FT0600281,AC,2001888,EUR,4573178,2000928,20260426,JACQUES CARRE-POTTIER
FT0600282,AC,2002026,XAF,1651788,2001162,20260426,VICTOR GUILLOT
FT0600283,AC,2002663,EUR,158895,2000338,20260426,SUSAN CARON
FT0600284,AC,2001452,EUR,3610241,2001356,20260426,JÉRÔME HUET
FT0600285,AC,2002341,EUR,1731068,2002534,20260426,MICHELLE DIJOUX DU COUSIN
FT0600286,AC,2001084,EUR,4111397,2003041,20260426,MAURICE DE SOUSA
FT0600287,AC,2002403,XAF,3882174,2002712,20260426,MARIE TORRES LE NORMAND
FT0600288,AC,2000458,XAF,3469158,2001377,20260426,BRIGITTE RENAUD
FT0600289,AC,2002841,EUR,4334161,2000864,20260426,LOUISE LEBON
FT0600290,AC,2003151,USD,2377010,2000098,20260426,SUSANNE MEUNIER
FT0600291,AC,2001767,XAF,473867,2000943,20260426,THÉRÈSE LEGENDRE LE BRUN
FT0600292,AC,2001080,EUR,4653573,2000860,20260426,CÉCILE CARRE DE BOULAY
FT0600293,AC,2001465,XAF,611895,2002758,20260426,DOMINIQUE DU JACOB
FT0600294,AC,2001599,EUR,2828936,2000405,20260426,COLETTE NOËL
FT0600295,AC,2000241,EUR,3864665,2000405,20260426,HENRI BOUCHET
FT0600296,AC,2000384,EUR,2511007,2000854,20260426,NATHALIE FOUCHER-ADAM
FT0600297,AC,2000628,EUR,4298952,2001763,20260426,ÉRIC HARDY
FT0600298,AC,2001072,EUR,1105441,2002593,20260426,ALIX DE COHEN
FT0600299,AC,2002332,EUR,2049410,2001132,20260426,JEANNE MARCHAL
FT0600300,AC,2002093,USD,1108792,2002830,20260426,ADRIEN SANCHEZ
FT0600301,AC,2002559,XAF,888425,2002357,20260426,BENJAMIN CORDIER
FT0600302,AC,2002406,XAF,2486823,2001621,20260426,BRIGITTE-ÉLÉONORE CHAUVET
FT0600303,AC,2001190,XAF,3957644,2001191,20260426,PHILIPPE LEBON
FT0600304,AC,2002603,USD,1754566,2002699,20260426,JACQUES GUIBERT
FT0600305,AC,2001461,USD,3884959,2001893,20260426,CAPUCINE TECHER
FT0600306,AC,2000913,XAF,627711,2001830,20260426,CAROLINE ALLAIN
FT0600307,AC,2000199,XAF,2455995,2000832,20260426,CORINNE GAY-HOAREAU
FT0600308,AC,2001661,XAF,2782904,2001193,20260426,DAVID ADAM
FT0600309,AC,2002529,EUR,3327864,2002970,20260426,AUDREY LAINE-PIERRE
FT0600310,AC,2001395,XAF,157204,2002092,20260426,ANTOINE VAILLANT
FT0600311,AC,2000071,USD,4524618,2000690,20260426,HÉLÈNE GEORGES
FT0600312,AC,2001263,XAF,698993,2002904,20260426,ARNAUDE BOUTIN
FT0600313,AC,2000572,XAF,353879,2000090,20260426,CÉCILE-HORTENSE FERNANDES
FT0600314,AC,2000325,XAF,3251158,2002380,20260426,SUZANNE ARNAUD
FT0600315,AC,2001686,XAF,2836658,2002506,20260426,ODETTE PICARD
FT0600316,AC,2001333,USD,4062616,2002075,20260426,GEORGES TECHER DE LA COLLIN
FT0600317,AC,2002419,USD,4673895,2001745,20260426,ZACHARIE LEMAÎTRE
